id,name,type,size,armor_class,hit_points,speed,challenge_rating,abilities,attacks,special_traits,version,is_active
monster_karen,The Karen,Humanoid,Medium,16,45 (6d8+18),30 ft,3,"Str 10, Dex 12, Con 16, Int 12, Wis 8, Cha 18",Screech (3d6 sonic); Summon Manager (Summons CR 1 ally),Entitlement Aura (Advantage on Intimidation),1.0,true
monster_mansplainer,The Mansplainer,Humanoid,Medium,12,32 (5d8+10),30 ft,2,"Str 12, Dex 10, Con 14, Int 16, Wis 8, Cha 10","Actually... (Reaction, disadv on target's check); Bore (1d6 psychic)",Condescension (Immune to logic),1.0,true
monster_reply_guy,The Reply Guy,Humanoid,Medium,11,22 (4d8+4),30 ft,1,"Str 8, Dex 14, Con 12, Int 10, Wis 10, Cha 8","Notification Spam (1d4 psychic per hit, multiattack); Well Actually (1d6 psychic)",Persistent (Cannot be ignored),1.0,true
monster_energy_vampire,The Energy Vampire,Undead,Medium,13,50 (8d8+14),25 ft,4,"Str 10, Dex 10, Con 14, Int 14, Wis 12, Cha 16",Drain Will (2d8 necrotic + fatigue); Boring Story (Stun),"Aura of Tedium (10ft radius, speed halved)",1.0,true
monster_gatekeeper,The Gatekeeper,Humanoid,Medium,18,60 (8d8+24),20 ft,5,"Str 16, Dex 10, Con 16, Int 14, Wis 12, Cha 10",Block Path (Wall of Force); Quiz (2d6 psychic),You Shall Not Pass (Advantage on grappling),1.0,true
monster_one_upper,The One-Upper,Humanoid,Medium,14,38 (6d8+12),30 ft,3,"Str 14, Dex 14, Con 14, Int 10, Wis 8, Cha 14","Better Story (1d8 psychic); Me Too (Reaction, match damage)",Ego Shield (AC +2 vs lower level targets),1.0,true
monster_ghoster,The Ghoster,Undead,Medium,15,27 (5d8+5),40 ft,2,"Str 10, Dex 18, Con 10, Int 12, Wis 14, Cha 16",Disappear (Invisibility); Silence (No response),Ethereal Jaunt,1.0,true
monster_clout_chaser,The Clout Chaser,Humanoid,Medium,12,25 (5d8+5),35 ft,2,"Str 10, Dex 16, Con 10, Int 10, Wis 8, Cha 16",Selfie (Blindness); Name Drop (1d6 psychic),Attention Seeker (Advantage on attacks if watched),1.0,true
monster_toxic_ex,The Toxic Ex,Fiend,Medium,15,55 (8d8+19),30 ft,4,"Str 14, Dex 14, Con 14, Int 12, Wis 10, Cha 18",Gaslight (Charm); Guilt Trip (2d8 psychic),Emotional Baggage (Difficult terrain 15ft),1.0,true
monster_micro_manager,The Micro-Manager,Aberration,Small,14,40 (9d6+9),25 ft,3,"Str 8, Dex 14, Con 12, Int 18, Wis 14, Cha 8","Hover (Fly speed); Nitpick (1d4 psychic, 3 attacks)",Omnipresence (Cannot hide from),1.0,true
