id,name,governing_ability,skill_category,parent_skill_id,description,example_use,version,is_active
skill_athletics,Athletics,STR,core,,"Physical exertion, carrying, climbing, and forceful movement.",Shoving through a crowded train door before it closes.,1.0,true
skill_bureaucracy,Bureaucracy,INT,core,,"Forms, systems, permits, and procedural survival.",Filling out the right visa form on the first try.,1.0,true
skill_deception,Deception,CHA,core,,"Lying, deflecting, reframing, and plausible bullshit.",Explaining why you are definitely not working while on a tourist visa.,1.0,true
skill_insight,Insight,WIS,core,,"Reading motives, pressure, vibes, and hidden tells.",Clocking that the apology is pre-packaged and not sincere.,1.0,true
skill_intimidation,Intimidation,CHA,core,,"Pressure, dominance, and social threat display.",Making the line-cutter reconsider their life choices.,1.0,true
skill_investigation,Investigation,INT,core,,"Research, evidence, deduction, and pattern finding.",Working out who stole the charger from the coworking kitchen.,1.0,true
skill_history,History,INT,core,,"Remembering scenes, scandals, lore, and prior context.",Recalling who got cancelled for the exact same thing in 2021.,1.0,true
skill_medicine,Medicine,WIS,core,,"Diagnosis, care, recovery, and bodily triage.","Figuring out whether it is jet lag, burnout, or both.",1.0,true
skill_nature,Nature,WIS,core,,"Plants, food chains, outdoor conditions, and earthy nonsense.",Keeping the cafe herbs alive long enough to impress someone.,1.0,true
skill_performance,Performance,CHA,core,,"Showmanship, delivery, stagecraft, and controlled attention.",Holding a room through charisma instead of evidence.,1.0,true
skill_persuasion,Persuasion,CHA,core,,"Negotiation, reassurance, relationship building, and soft power.",Convincing the barista the extra oat milk charge is a hate crime.,1.0,true
skill_stealth,Stealth,DEX,core,,"Avoiding notice, slipping away, and low-profile movement.",Leaving the party without triggering a goodbye conversation.,1.0,true
skill_survival,Survival,WIS,core,,"Navigation, endurance, finding resources, and staying functional.","Locating an outlet, bathroom, and edible food under pressure.",1.0,true
skill_technology,Technology,INT,core,,"Devices, code, systems, and general digital competence.",Fixing the hotspot before the team mutinies.,1.0,true
skill_vehicle_handling,Vehicle Handling,DEX,core,,"Driving, riding, maneuvering, and transit control.",Getting a scooter through Bangkok traffic without becoming folklore.,1.0,true
skill_arcana,Arcana,INT,core,,"Weird metaphysics, ritual systems, and esoteric pattern language.",Pretending astrology and market cycles are the same discipline.,1.0,true
