id,name,trigger,detect_dc,disable_dc,save_type,save_dc,effect_text,condition_ids,damage_formula,damage_type,recurrence,region_tags,version,is_active
awkward_bill,Awkward Bill Arrival,"The check lands before anyone has discussed who invited whom.",12,14,WIS,13,"On a failed save, each target either pays too much or gains Doubt until the scene ends.",doubt,1d4,reputation,once,nightlife;dating,1.0,true
bad_music,Bad Music With Excellent Confidence,"The playlist switches to something aggressively wrong for the room.",10,12,CON,12,"Creatures relying on charm or subtlety take -2 on CHA checks until someone changes the playlist.",distracted,,sonic,scene,nightlife;social,1.0,true
whiteboard_fumes,Whiteboard Fumes,"A dry-erase marker is uncapped with the reverence of a holy relic.",11,13,CON,12,"Targets in the same zone become Distracted; tech or presentation checks suffer if nobody opens a window.",distracted,1d4,necrotic,round,office;tech,1.0,true
service_queue,Service Queue With Opinions,"The line notices the conflict and begins silently judging every choice.",13,15,CHA,14,"Failure adds Heat +1 or Embarrassed until the party protects the staff or moves the scene.",embarrassed,,reputation,scene,retail;urban,1.0,true
dying_laptop_battery,Dying Laptop Battery,"A device drops below 5 percent while the objective still depends on it.",10,12,INT,13,"On failure, the acting character gains Panic and tech-based checks take -2 until recharged.",panic,,necrotic,clock,bangkok;coworking;tech,1.0,true
outlet_turf_war,Outlet Turf War,"Two or more parties reach for the same outlet or power strip.",12,15,DEX,13,"Failure knocks a charger loose, applies Power Loss, or forces a Social Grapple over socket rights.",power_loss;grappled_social,1d4,cringe,once,coworking;cafe,1.0,true
icebreaker_round,Icebreaker Round That Should Be Illegal,"A facilitator asks everyone to share a fun fact and a vulnerability.",12,14,WIS,14,"Failure applies Uncomfortable; a natural 1 creates a public callback the GM may weaponize later.",uncomfortable,,psychic,scene,conference;retreat,1.0,true
group_chat_receipts,Group Chat Receipts Leak,"Someone posts screenshots before context can put on shoes.",14,16,CHA,15,"Failure creates Receipts Collected against the target and advances the complication clock.",receipts_collected,1d6,reputation,once,digital;social,1.0,true
algorithmic_spotlight,Algorithmic Spotlight,"The platform decides this is the exact wrong moment to go viral.",13,15,CHA,14,"Targets become Cannot Be Ignored; all subtle actions are at disadvantage until attention moves.",cannot_be_ignored,,reputation,scene,digital;creator,1.0,true
visa_printer_jam,Visa Printer Jam,"The final document is ready except the printer has entered its villain era.",12,16,INT,14,"Failure costs one clock segment and gives the Embassy Official advantage on Delay You Politely.",distracted,,necrotic,clock,transit;bureaucracy,1.0,true
security_bag_check,Security Bag Check With Commentary,"Security asks why anyone needs this many adapters.",12,14,CHA,13,"Failure costs Access -1 or exposes one embarrassing item as leverage.",embarrassed,,cringe,once,airport;conference,1.0,true
ring_light_overheat,Ring Light Overheat,"The lighting rig gets hotter than the discourse.",11,13,DEX,13,"Failure blinds nearby creatures for 1 round and makes the next photo-based action risky.",blinded,1d4,sonic,once,nightlife;creator,1.0,true
brunch_split_bill_math,Brunch Split-Bill Math,"The table discovers that shared appetizers are a constitutional crisis.",10,12,INT,13,"Failure applies Doubt and costs Social Capital unless someone imposes a fair split.",doubt,,reputation,scene,cafe;social,1.0,true
free_trial_expiry,Free Trial Expiry,"The software trial expires exactly when the demo needs to work.",13,15,INT,14,"Failure shuts down one tool and applies Panic to the presenter.",panic,,necrotic,once,tech;conference,1.0,true
pitch_deck_version_conflict,Pitch Deck Version Conflict,"Nobody is presenting the same file.",12,15,INT,14,"Failure adds Distracted and causes one fact in the pitch to become Misinformation.",distracted;misinformation,,psychic,clock,office;startup,1.0,true
wellness_gong_resonance,Wellness Gong Resonance,"A gong is struck with the confidence of a person who owns linen pants.",11,13,CON,13,"Failure applies Bored or Stunned for 1 round if the target was already Bored.",bored;stunned,1d4,sonic,round,retreat;wellness,1.0,true
mandatory_sharing_circle,Mandatory Sharing Circle,"The facilitator says attendance is optional in a way that means compulsory.",13,15,WIS,14,"Failure applies Social Grapple and prevents leaving the zone without an escape contest.",grappled_social,,psychic,scene,retreat;wellness,1.0,true
night_market_bottleneck,Night Market Bottleneck,"A crowd, scooter, influencer tripod, and auntie cart all occupy one destiny.",12,14,DEX,13,"Failure makes movement cost double and gives Slow Walkers or Queue Skippers tactical cover.",slow,1d4,cringe,round,market;taipei,1.0,true
karaoke_feedback,Karaoke Feedback Scream,"A microphone decides to settle every argument by volume.",10,12,CON,13,"Failure deals sonic damage and Silences the next verbal action.",silenced,1d6,sonic,once,nightlife;taipei,1.0,true
founder_time_dilation,Founder Time Dilation,"A founder says 'quick context' and time collapses inward.",13,16,WIS,15,"Failure costs one clock segment and applies Bored; casters must check Concentration.",bored,1d4,necrotic,clock,startup;office,1.0,true
demo_wifi_collapse,Demo WiFi Collapse,"The network vanishes the moment a stakeholder leans forward.",12,15,INT,14,"Failure applies Power Loss and advances the failure clock unless a hotspot or favor is spent.",power_loss;panic,,necrotic,clock,conference;tech,1.0,true
camera_flash_mob,Camera Flash Mob,"A dozen strangers begin recording vertically at once.",13,15,DEX,14,"Failure applies Blinded or Embarrassed and makes the next failure public.",blinded;embarrassed,1d4,cringe,scene,urban;creator,1.0,true
airport_gate_change,Airport Gate Change Prophecy,"The gate changes after everyone has sat down and emotionally committed.",12,15,WIS,14,"Failure applies Panic and moves all zones one step farther from the objective.",panic,,necrotic,once,airport;transit,1.0,true
fake_calendar_invite,Fake Calendar Invite,"A malicious calendar invite claims the real meeting is elsewhere.",14,15,INT,14,"Failure sends one PC to the wrong zone or gives an enemy a surprise round.",surprised,,psychic,once,digital;office,1.0,true
