id,name,armor_type,rarity,cr_bonus,cost_cp,weight_lb,stat_requirement_stat,stat_requirement_value,stealth_disadvantage,stealth_penalty,description,bonuses,version,tags,is_active
armor_oversized_band_tee,Oversized Band Tee,light,common,1,50,0.5,,,false,0,"A shirt from a band you've definitely heard of. Probably.","cr_bonus:+1;stat_bonus:CHA:+1:music_conversations",1.0,"clothing;casual;music",true
armor_thrifted_blazer,Thrifted Blazer,light,common,1,80,1.0,,,false,0,"Slightly musty, very sustainable. Makes you look like you have meetings.","cr_bonus:+1;stat_bonus:CHA:+1:professional_settings",1.0,"clothing;professional;sustainable",true
armor_lululemon_athleisure,Lululemon Athleisure Set,light,uncommon,2,200,0.5,DEX,12,false,0,"Yoga pants and matching top. You could work out in this. You won't.","cr_bonus:+2;save_bonus:DEX:+1",1.0,"clothing;athleisure;yoga",true
armor_patagonia_fleece,Patagonia Fleece of Privilege,light,uncommon,2,300,1.0,,,false,0,"The official uniform of venture capitalists and trust fund hikers.","cr_bonus:+2;stat_bonus:CHA:+2:outdoor_tech_contexts",1.0,"clothing;outdoor;tech;privilege",true
armor_vintage_denim_jacket,Vintage Denim Jacket,light,common,1,100,2.0,,,false,0,"Covered in pins and patches expressing your personality.","cr_bonus:+1;stat_bonus:CHA:+1;skill_bonus:Stealth:-1:jingling_pins",1.0,"clothing;vintage;punk",true
armor_uniqlo_basic,Uniqlo Basic Armor,light,common,1,30,0.5,,,false,0,"Minimalist Japanese design. Suspiciously affordable quality.","cr_bonus:+1;stat_bonus:WIS:+1:looking_effortless",1.0,"clothing;minimalist;japanese",true
armor_hoodie_corporate_casual,Hoodie of Corporate Casual,light,common,1,50,0.8,,,false,0,"A startup hoodie with a failed company logo. Vintage now.","cr_bonus:+1;stat_bonus:INT:+1:tech_conversations",1.0,"clothing;startup;tech",true
armor_normcore_ensemble,Normcore Ensemble,light,uncommon,2,150,1.0,WIS,12,false,0,"Aggressively average clothing. You blend in everywhere.","cr_bonus:+2;skill_bonus:Stealth:+2;advantage:Stealth:crowds",1.0,"clothing;stealth;urban",true
armor_all_black_outfit,The All-Black Outfit,light,uncommon,2,100,1.0,,,false,0,"Head to toe black. Either a designer or a barista.","cr_bonus:+2;skill_bonus:Intimidation:+2;stat_bonus:CHA:+1:creative_settings",1.0,"clothing;creative;intimidation",true
armor_sustainable_hemp,Sustainable Hemp Clothing,light,common,1,80,0.8,,,false,0,"Itchy but ethical. You will tell everyone about it.","cr_bonus:+1;stat_bonus:WIS:+1;skill_bonus:Persuasion:+2:environmental_topics",1.0,"clothing;sustainable;environmental",true
armor_convertible_travel_pants,Convertible Travel Pants,light,common,1,60,0.5,,,false,0,"Zip-off legs for any climate. Peak digital nomad.","cr_bonus:+1;stat_bonus:DEX:+1;resistance:temperature",1.0,"clothing;travel;practical",true
armor_merino_wool_base,Merino Wool Base Layer,light,uncommon,2,200,0.3,CON,10,false,0,"Doesn't smell even after 5 days. You've tested this.","cr_bonus:+2;save_bonus:CON:+2:temperature;advantage:CON:smell_based",1.0,"clothing;travel;temperature",true
armor_fast_fashion_chic,Fast Fashion Chic,light,common,0,20,0.5,,,false,0,"Falls apart after 3 washes. But it was $5.","cr_bonus:+0;stat_bonus:CHA:+2:first_impressions_only",1.0,"clothing;disposable;cheap",true
armor_designer_streetwear,Designer Streetwear,medium,rare,3,1500,1.5,CHA,14,false,0,"Supreme/Off-White/Whatever's hype. Your outfit costs rent.","cr_bonus:+3;stat_bonus:CHA:+3;skill_bonus:Intimidation:+2:hypebeast_contexts",1.0,"clothing;designer;streetwear;expensive",true
