id,name,treasure_type,rarity,quantity,stackable,location_ref,quest_hook,merchant_value_cp,pickup_text,flavor_text,rules_text,tags,version,is_active
treasure_wifi_napkin,WiFi Password Napkin,quest_item,common,1,false,location_avocado_cafe,The Lost WiFi Password,25,"The barista drops it like it means nothing. It means everything.","A damp paper relic containing the one credential standing between you and productivity.","Counts as a key item for any encounter gated by local WiFi access. Consumed if the venue changes the password.","wifi;quest;paper",1.0,true
treasure_transit_card,Transit Card with Suspiciously Specific Balance,loot,common,1,false,location_coworking_space,,713,"You find it under a communal couch next to a charging brick and a moral compromise.","Somebody absolutely meant to come back for this and absolutely never will.","Can pay one transit fare or substitute for a small bribe in a hurry. Worth full value only to someone who uses the system.","travel;currency;found",1.0,true
treasure_vip_wristband,VIP Wristband of Dubious Legitimacy,loot,uncommon,1,false,location_rooftop_bar,Get Past the Guest List Guardian,1200,"It still smells like perfume, panic, and a decision somebody regrets.","A flimsy fabric halo granting temporary access to rooms full of terrible people and useful information.","Gain +2 Access in nightlife scenes until security notices you or the wristband gets wet and starts disintegrating.","nightlife;access;fake_it",1.0,true
blocked_number,Blocked Number,access,common,1,false,location_rooftop_bar,,0,"Your phone becomes lighter by one emotional liability.","A contact entry that now exists only as a warning to future you.","Gain advantage on one save against Ghosted, Charmed, or Uncomfortable from the same source.","dating;boundaries",1.0,true
leftover_fries,Leftover Fries of Unclear Ownership,loot,common,1,true,location_rooftop_bar,,25,"They are cold, salty, and somehow still therapeutic.","A paper cone of fries nobody admits ordering.","Restore 1d4 Chill during a short rest if eaten before anyone asks whose they are.","food;healing;dating",1.0,true
patagonia_fleece,Patagonia Fleece of Borrowed Authority,gear,uncommon,1,false,location_coworking_space,,900,"It smells like seed funding and airport lounges.","A quarter-zip that makes mediocre opinions sound investable.","Gain +1 Access in startup, VC, or conference scenes; lose the bonus if Fact Checked in public.","startup;access;clout",1.0,true
failed_startup_stickers,Failed Startup Stickers,loot,common,12,true,location_coworking_space,,5,"Every sticker once believed it was changing the world.","A sheet of abandoned brand marks from companies that pivoted into silence.","Spend one sticker to gain +1 on a tech bluff, then explain what the company did and take 1 cringe damage.","startup;comedy;consumable",1.0,true
expired_coupon,Expired Coupon of Moral Victory,loot,common,1,true,location_retail_counter,,1,"It expired six months ago, but the argument is fresh.","A coupon whose fine print has become a battlefield.","Spend to distract a Karen-like enemy for 1 round if you can keep a straight face.","retail;distraction",1.0,true
oversized_sunglasses,Oversized Sunglasses of Managerial Distance,gear,common,1,false,location_retail_counter,,250,"The lenses say 'I will not be perceived at this volume.'","Sunglasses large enough to hide either tears or contempt.","Gain +1 Cringe Resistance against public scrutiny in retail or travel scenes.","retail;defense;fashion",1.0,true
receipt_for_the_last_outlet,Receipt for the Last Outlet,access,common,1,false,location_avocado_cafe,quest_the_lost_charger,0,"Possession is nine-tenths of socket law.","A receipt proving you bought one coffee and therefore deserve electricity.","Counts as leverage when contesting outlet access in cafes or coworking spaces.","power;access;cafe",1.0,true
emergency_power_token,Emergency Power Token,quest_item,common,1,true,location_avocado_cafe,,75,"A tiny claim on continued civilization.","A laminated token exchangeable for ten sacred minutes near an outlet.","Spend to ignore Power Loss for one scene or trade for +1 Access with a tech-dependent NPC.","power;consumable;access",1.0,true
number_with_actual_authority,Number With Actual Authority,information,uncommon,1,false,location_border_crossing_office,,0,"It is not the main number, which is how you know it works.","A phone number written in blue pen under three layers of unofficial protocol.","Once per campaign, reroll a failed bureaucracy or visa check after escalating politely.","bureaucracy;favor;transit",1.0,true
laminated_stamp_of_maybe,Laminated Stamp of Maybe,quest_item,uncommon,1,false,location_border_crossing_office,,300,"It is not official, but it is official-adjacent in a way that scares interns.","A stamp that says enough without saying anything legally binding.","Gain +2 on one Access check involving paperwork; on a natural 1, gain Heat +1.","bureaucracy;risk;access",1.0,true
muted_thread,Muted Thread,access,common,1,false,location_online,,0,"Peace arrives as a tiny crossed-out bell.","A group chat that can no longer bite your ankle every thirty seconds.","Remove Distracted from one digital scene; the thread may still mutate offscreen.","digital;defense;social",1.0,true
context_screenshot,Context Screenshot,information,common,1,false,location_online,,0,"The rarest treasure: the message before the screenshot.","A screenshot with enough surrounding context to ruin a bad-faith narrative.","Spend as Receipts Collected or to remove Misinformation from one claim.","digital;receipts;reputation",1.0,true
fair_bill_receipt,Fair Bill Receipt,information,common,1,false,location_the_bistro,,0,"Everyone paid exactly what they owed. The table is briefly socialist.","A receipt annotated with calm math and no emotional debris.","Reduce Heat by 1 after a food or brunch scene if the party avoided public accounting violence.","food;heat;social",1.0,true
brunch_coupon,Brunch Coupon of Conditional Forgiveness,loot,common,1,true,location_the_bistro,,150,"Good for one mimosa and a silence nobody should break.","A coupon for a future meal under terms nobody fully trusts.","Restore 1d6 Chill if used during downtime with someone you annoyed last session.","food;relationship;healing",1.0,true
usable_golden_hour,Usable Golden Hour,access,uncommon,1,false,location_rooftop_bar,,0,"For twelve minutes, nobody's pores are anybody's business.","A fleeting stretch of perfect light that forgives bad decisions.","Gain advantage on one creator, glamour, or first-impression check before the light changes.","creator;nightlife;timed",1.0,true
sponsor_dm,Sponsor DM,information,uncommon,1,false,location_rooftop_bar,,0,"It begins with 'love your vibe' and ends near taxes.","A private message from a brand that may or may not pay in money.","Convert into +1 Access with creator factions or a low-value cash reward during downtime.","creator;cash;access",1.0,true
version_controlled_pitch_deck,Version-Controlled Pitch Deck,quest_item,uncommon,1,false,location_the_startup_incubator,,0,"Finally, one deck, one truth, one font family.","A pitch deck with a commit history and fewer lies than expected.","Gain +2 on one startup pitch or investor check; Fact Check attempts against the deck are made normally.","startup;tool;presentation",1.0,true
investor_intro,Investor Intro of Questionable Warmth,favor,uncommon,1,false,location_the_startup_incubator,,0,"The email says 'happy to connect' with the enthusiasm of a closed elevator.","A warm intro that becomes colder each time it is forwarded.","Spend for +2 Access to VC or founder NPCs; expires after one downtime cycle.","startup;favor;access",1.0,true
barista_trust_token,Barista Trust Token,favor,common,1,false,location_avocado_cafe,quest_the_lost_wifi_password,0,"Kyle nods once. It is basically knighthood.","A tiny social credit with someone who controls caffeine and seating.","Spend to reduce cafe Heat by 1 or learn one local secret without buying another drink.","cafe;favor;trust",1.0,true
plus_one_wristband,Plus-One Wristband of Plausible Invitation,access,common,1,false,location_rooftop_bar,,250,"The name on the list is not yours, but the font believes in you.","A wristband that gets you into events where nobody wants to admit they check lists.","Gain +2 Access to one event scene; fails immediately if compared to the real guest list.","event;access;nightlife",1.0,true
bouquet_of_plausible_denial,Bouquet of Plausible Denial,loot,common,1,false,location_rooftop_bar,,100,"Flowers: nature's apology template.","A bouquet used to cover either romance, sabotage, or poor planning.","Spend to reroll one failed apology or distraction check at an event.","event;relationship;distraction",1.0,true
conference_room_keycard,Conference Room Keycard,access,uncommon,1,false,location_the_coworking_space,,0,"It opens every room except the one where decisions are made.","A coworking keycard with just enough permissions to create trouble.","Gain access to one restricted coworking zone; on a failed stealth check, Heat +1.","coworking;access;stealth",1.0,true
union_slack_invite,Union Slack Invite,information,uncommon,1,false,location_the_coworking_space,,0,"The channel name is innocuous. The pinned posts are not.","An invite to the backchannel where the real tenant politics happen.","Gain +1 Trust with coworking regulars or reveal one faction clock trigger.","coworking;faction;trust",1.0,true
confiscated_phone_basket,Confiscated Phone Basket,quest_item,uncommon,1,false,location_retreat_center,,0,"A woven basket full of withdrawals and lock screens.","The retreat's phone basket, humming with unsent texts.","Recover one lost device or trade it for leverage over the wellness staff.","retreat;leverage;tech",1.0,true
