id,name,scene_type,level_range,location_id,enemy_ids,hazard_ids,win_condition,loss_condition,reward_ids,setup_text,gm_notes,tags,version,is_active
encounter_tinder_hell,The Tinder Date from Hell,social_combat,2-4,location_rooftop_bar,"monster_trauma_dumper",awkward_bill;bad_music,"Leave with Chill remaining and avoid becoming Charmed, Ghosted, or publicly humiliated.","Hit 0 Chill, pay for everything, or accidentally agree to brunch tomorrow.","blocked_number;leftover_fries","They looked better in the photos, which is an ambitious sentence because the photos were already a war crime.","Use a cramped venue and force close-range play. Great for teaching Uncomfortable, Doubt, and Hard Pass outcomes.","dating;social;intro",1.0,true
encounter_mansplainer,The Mansplaining Tech Bro,social_combat,1-3,location_coworking_space,"monster_mansplainer",whiteboard_fumes,"Publicly expose the flaw in his explanation or outlast his interruptions.","Fail three INT-based checks in a row and the whole table assumes he was right.","patagonia_fleece;failed_startup_stickers","The cloud, apparently, is something he personally invented in 2016.","Best run with allies present so interruption and positioning matter.","office;tech;ego",1.0,true
encounter_karen_wild,The Karen in the Wild,social_combat,2-5,location_retail_counter,"monster_karen",service_queue,"Protect the staff, survive the screeching, and prevent a manager escalation spiral.","Let the scene go viral in her favor or lose all public goodwill in the room.","expired_coupon;oversized_sunglasses","She has mistaken your existence for poor customer service.","Track nearby NPC morale. This encounter teaches Social Capital and crowd sway.","retail;boss;viral",1.0,true
encounter_last_outlet_heist,The Last Functioning Outlet Heist,heist,1-2,location_avocado_cafe,"monster_digital_nomad_evil;monster_queue_skipper","dying_laptop_battery;outlet_turf_war","Secure 10 uninterrupted minutes of power before the laptop hits zero.","The device dies mid-objective, Heat +1, and somebody else claims the socket by buying a single espresso.","receipt_for_the_last_outlet;emergency_power_token","The only outlet in the cafe has a three-way adapter, two enemy chargers, and the aura of a religious relic.","Run a 4-segment battery clock. Let players win through stealthy cable routing, public shame, bribing Barista Kyle, or pretending the fire code is on their side.","30_min;heist;cafe;power",1.0,true
encounter_visa_counter_speedrun,Visa Counter Speedrun,negotiation,1-3,location_border_crossing_office,"monster_visa_runner;monster_queue_skipper","visa_printer_jam;security_bag_check;service_queue","Get the stamp, number, or appointment confirmation before the counter closes.","Lose the queue position, gain Heat +1, or accept a stamped document with the wrong name.","number_with_actual_authority;laminated_stamp_of_maybe","The official has the stamp. The printer has chosen violence. The queue has become a small nation with laws nobody voted on.","Keep the why simple and the choices immediate: appeal to procedure, expose a queue cheat, trade a favor, or sprint for a missing copy.","30_min;bureaucracy;negotiation;queue",1.0,true
encounter_group_chat_trial,The Group Chat Trial,social_combat,2-3,location_online,"monster_reply_guy;monster_frenemy","group_chat_receipts;algorithmic_spotlight","Restore context before the thread decides the party is cringe beyond appeal.","A screenshot wins without context, one ally Ghosts the group, and the thread becomes Misinformation for the next session.","muted_thread;context_screenshot","A message from last night has been screenshotted, cropped, captioned, and given a life coach's confidence.","Make this a courtroom in a phone: three evidence reveals, two hostile reactions, one chance to mute the thread before it mutates.","30_min;digital;reputation;trial",1.0,true
encounter_qr_menu_doom,The QR Code Menu of Doom,investigation,1-2,location_avocado_cafe,"monster_foodie;monster_clout_chaser","brunch_split_bill_math;bad_music;group_chat_receipts","Find the real WiFi password hidden behind the cafe's menu, decor, and Barista Kyle's patience.","The party orders the wrong thing, fails to connect, and owes money for a deconstructed toast nobody wanted.","treasure_wifi_napkin;barista_trust_token","The QR menu opens six tabs, the specials board is written in chalk sarcasm, and Kyle keeps glancing at the plant wall like it knows too much.","Use three interchangeable clues: receipt phrase, wall-art cipher, and Kyle's clue-for-patience trade. Any two point to the password; all three earn the trust token.","45_60_min;mystery;cafe;three_clues",1.0,true
encounter_five_star_review_tribunal,The 5-Star Review Tribunal,social_boss,2-4,location_the_bistro,"monster_karen","service_queue;camera_flash_mob;brunch_split_bill_math","Convince, distract, or outmaneuver the Karen before she posts a venue-killing review.","The review lands first, staff morale collapses, and the party gets blamed in the replies.","expired_coupon;oversized_sunglasses;fair_bill_receipt","The restaurant's rating ticks from 4.6 to 4.5 in real time, and everyone in the room somehow knows it.","Prep the situation, not the verdict: appeal to fairness, protect the staff, redirect the crowd, or turn the review into a joke before it becomes law.","45_60_min;public_negotiation;retail;review",1.0,true
encounter_rooftop_ring_light_eclipse,Rooftop Ring Light Eclipse,event_crisis,2-4,location_rooftop_bar,"monster_clout_chaser;monster_influencer_boyfriend","ring_light_overheat;algorithmic_spotlight;bad_music","Save the creator event from becoming a live-streamed lighting disaster.","The sponsor leaves, the best light dies, and the party becomes the backup content.","usable_golden_hour;sponsor_dm","The sunset is perfect for exactly twelve minutes, which is unfortunate because the ring lights have started smoking.","Make the room move: VIP booth, bar line, photo wall, and emergency balcony. Each zone offers a different solution and a different way to look ridiculous.","45_60_min;event;creator;nightlife",1.0,true
encounter_pitch_deck_funeral,The Pitch Deck Funeral,pitch_showdown,3-5,location_the_startup_incubator,"monster_linkedin_lunatic;monster_buzzword_bot","pitch_deck_version_conflict;free_trial_expiry;founder_time_dilation","Deliver one coherent pitch before the room realizes every slide is from a different reality.","The investors applaud politely, which is worse than booing, and the deck becomes a cautionary LinkedIn post.","version_controlled_pitch_deck;investor_intro","The founder says the deck is 'basically final,' then opens a folder named FINAL_final_ACTUAL_use_this_v7.","Let players solve with engineering, charisma, sabotage, or radical honesty. The funny part is that any of those might work.","45_60_min;startup;presentation;tech",1.0,true
