id,name,name_aliases,region,location_type,scene_tags,rest_quality,wifi_quality,hazard_tags,npc_tags,loot_tags,flavor_text,mechanical_hooks,quest_hooks,version,is_active
location_coworking_space,The Coworking Space of Eternal Silence,,taipei,coworking,office;judgment;remote_work,2,4,noise_judgment;panic_wifi,corporate_drone;digital_nomad,lost_charger;bad_coffee,A white-walled productivity temple where even coughing feels like a felony.,"Loud actions trigger a CHA save DC 15 or take 1d6 psychic damage from collective judgment. On a scene hazard roll of 1, WiFi fails and all tech checks risk Panic.",Find the last functioning outlet; recover the WiFi password; survive a networking event you never agreed to attend.,1.0,true
location_avocado_cafe,The Overpriced Avocado Toast Cafe,,bangkok,cafe,hipster;waiting;wifi,1,3,queue;guilt_tip,barista;influencer,wifi_password_napkin;artisanal_pastry,The menu is on a QR code that loads only after you have emotionally detached from brunch.,Waiting more than one scene beat forces a CON save DC 12 or gain Exhaustion 1. The bill forces a WIS save DC 14 or you overtip out of shame.,Steal a table with an outlet; decode the WiFi password hidden in the decor; survive passive-aggressive latte hierarchy.,1.0,true
location_rooftop_bar,Zhongshan Rooftop Bars,,taipei,nightlife,dating;noise;status,0,2,bad_music;expensive_drinks,reply_guy;influencer;situationship,free_drink;blocked_number,"The skyline is gorgeous, the cocktails are ruinous, and everybody here is performing sincerity in increasingly expensive shoes.",Sonic attacks gain +1 damage. Any failed flirt roll can raise Heat by 1 if the scene is public enough.,"Find a catfish, dodge a clinger, or turn a Hard Pass into a lead on something bigger.",1.0,true
location_border_crossing,Border Crossing,,city,transit,travel;bureaucracy;queue,0,1,queue;panic;delay,bureaucrat;traveler,lost_luggage;transit_card,Border Crossing is where tonight's problem puts on clean shoes and pretends to be normal.,This location is tuned for quests about cross the border and return within 24 hours. Use one hazard from queue;panic;delay and one pressure NPC from bureaucrat;traveler.,The Visa Run: Cross the border and return within 24 hours.,1.0,true
location_online,Online,,digital,digital,online;algorithm;exposure,0,5,spam;visibility;scam,moderator;creator,admin_access;receipts,Online is where tonight's problem puts on clean shoes and pretends to be normal.,This location is tuned for quests about debug the server causing reality lag. Use one hazard from spam;visibility;scam and one pressure NPC from moderator;creator.,The Glitch in the Matrix: Debug the server causing reality lag.,1.0,true
location_the_rooftop_bar,The Rooftop Bar,,city,nightlife,nightlife;noise;status,0,2,noise;expensive_drinks,influencer;reply_guy,free_drink;blocked_number,The Rooftop Bar is where tonight's problem puts on clean shoes and pretends to be normal.,This location is tuned for quests about recover tiffany's lost phone before she loses followers. Use one hazard from noise;expensive_drinks and one pressure NPC from influencer;reply_guy.,The Influencer's Meltdown: Recover Tiffany's lost phone before she loses followers.,1.0,true
location_the_startup_incubator,The Startup Incubator,,city,office,office;pressure;networking,1,4,deadline;interruptions,corporate_drone;founder,lanyard;charger,The Startup Incubator is where tonight's problem puts on clean shoes and pretends to be normal.,This location is tuned for quests about secure funding for your 'uber for dogs' app. Use one hazard from deadline;interruptions and one pressure NPC from corporate_drone;founder.,The Startup Pitch: Secure funding for your 'Uber for Dogs' app.,1.0,true
location_the_airbnb_that_looked_better_in_photos,The Airbnb That Looked Better In Photos,,city,scene,scene;social,1,2,awkwardness,locals;nomads,favor;receipt,The Airbnb That Looked Better In Photos is where tonight's problem puts on clean shoes and pretends to be normal.,This location is tuned for quests about exorcise the ghost of the previous tenant. Use one hazard from awkwardness and one pressure NPC from locals;nomads.,The Airbnb Horror Story: Exorcise the ghost of the previous tenant.,1.0,true
location_retreat_center,Retreat Center,,regional,retreat,wellness;quiet;self_work,2,0,withdrawal;oversharing,yoga_teacher;life_coach,inner_peace;tea,Retreat Center is where tonight's problem puts on clean shoes and pretends to be normal.,This location is tuned for quests about survive 3 days without technology. Use one hazard from withdrawal;oversharing and one pressure NPC from yoga_teacher;life_coach.,The Digital Detox: Survive 3 days without technology.,1.0,true
location_the_blockchain,The Blockchain,,digital,digital,online;algorithm;exposure,0,5,spam;visibility;scam,moderator;creator,admin_access;receipts,The Blockchain is where tonight's problem puts on clean shoes and pretends to be normal.,This location is tuned for quests about save your portfolio from going to zero. Use one hazard from spam;visibility;scam and one pressure NPC from moderator;creator.,The Crypto Crash: Save your portfolio from going to zero.,1.0,true
