name,type,rarity,cr_bonus,stat_requirements,stealth_penalty,cost,description,bonuses
Oversized Band Tee,Light,Common,+1,None,No,5 sp,"A shirt from a band you've definitely heard of. Probably.","+1 CR, +1 CHA (Music Conversations)"
Thrifted Blazer,Light,Common,+1,None,No,8 sp,"Slightly musty, very sustainable. Makes you look like you have meetings.","+1 CR, +1 CHA (Professional Settings)"
Lululemon Athleisure Set,Light,Uncommon,+2,DEX 12,No,2 gp,"Yoga pants and matching top. You could work out in this. You won't.","+2 CR, +1 DEX Saves"
Patagonia Fleece of Privilege,Light,Uncommon,+2,None,No,3 gp,"The official uniform of venture capitalists and trust fund hikers.","+2 CR, +2 CHA (Outdoor/Tech Contexts)"
Vintage Denim Jacket,Light,Common,+1,None,No,1 gp,"Covered in pins and patches expressing your personality.","+1 CR, +1 CHA, -1 Stealth (Jingling Pins)"
Uniqlo Basic Armor,Light,Common,+1,None,No,3 sp,"Minimalist Japanese design. Suspiciously affordable quality.","+1 CR, +1 WIS (Looking Effortless)"
Hoodie of Corporate Casual,Light,Common,+1,None,No,5 sp,"A startup hoodie with a failed company logo. Vintage now.","+1 CR, +1 INT (Tech Conversations)"
Normcore Ensemble,Light,Uncommon,+2,WIS 12,No,1 gp 5 sp,"Aggressively average clothing. You blend in everywhere.","+2 CR, +2 Stealth, Advantage on Stealth (Crowds)"
The All-Black Outfit,Light,Uncommon,+2,None,No,1 gp,"Head to toe black. Either a designer or a barista.","+2 CR, +2 Intimidation, +1 CHA (Creative Settings)"
Sustainable Hemp Clothing,Light,Common,+1,None,No,8 sp,"Itchy but ethical. You will tell everyone about it.","+1 CR, +1 WIS, +2 Persuasion (Environmental Topics)"
Convertible Travel Pants,Light,Common,+1,None,No,6 sp,"Zip-off legs for any climate. Peak digital nomad.","+1 CR, +1 DEX, Resistance to Temperature Conditions"
Merino Wool Base Layer,Light,Uncommon,+2,CON 10,No,2 gp,"Doesn't smell even after 5 days. You've tested this.","+2 CR, +2 CON Saves (Temperature), Advantage CON (Smell-based)"
Fast Fashion Chic,Light,Common,+0,None,No,2 sp,"Falls apart after 3 washes. But it was $5.","+0 CR, +2 CHA (First Impressions Only)"
