alias,skill_id,source,confidence,notes
Active Listening,skill_therapy_speak,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Aesthetic Curation,skill_filter_selection,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Algorithm Analysis,skill_algorithm_manipulation,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Ancient Systems,skill_history,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Appraisal,skill_investigation,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Argument Construction,skill_persuasion,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Asynchronous Communication,skill_slack_etiquette,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Athletic Discipline,skill_athletics,background_or_gear,0.95,"Manual correction: maps to Athletics, not Gatekeeping."
Athletics,skill_athletics,background_or_gear,1.0,Auto-mapped alias for legacy content normalization.
Authority Presence,skill_gatekeeping,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Authority Projection,skill_gatekeeping,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Automation Design,skill_technology,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Boundary Setting,skill_therapy_speak,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Brand Building,skill_content_creation,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Business Translation,skill_technology,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Celebrity Knowledge,skill_clout_chasing,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Character Development,skill_content_creation,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Child Development,skill_insight,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Citation Finding,skill_history,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Citation Mastery,skill_history,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
City Navigation,skill_public_transit_navigation,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Classroom Management,skill_persuasion,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Client Management,skill_persuasion,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Code Review,skill_investigation,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Coding,skill_technology,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Cold Calling,skill_persuasion,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Community Surveillance,skill_gatekeeping,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Competition Mindset,skill_humblebragging,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Complaint Articulation,skill_persuasion,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Conflict Resolution,skill_persuasion,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Content Creation,skill_content_creation,background_or_gear,1.0,Auto-mapped alias for legacy content normalization.
Content Strategy,skill_content_creation,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Conversation Skills,skill_persuasion,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Corporate Survival,skill_survival,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Costume Creation,skill_filter_selection,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Crisis Management,skill_corporate_speak,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Crisis Response,skill_corporate_speak,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Crisis Tracking,skill_doomscrolling,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Cryptocurrency Lore,skill_cryptocurrency_lore,background_or_gear,1.0,Auto-mapped alias for legacy content normalization.
Crystal Healing,skill_crystal_healing,background_or_gear,1.0,Auto-mapped alias for legacy content normalization.
Current Events,skill_doomscrolling,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Curriculum Design,skill_persuasion,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Customer Management,skill_persuasion,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Customer Service,skill_persuasion,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Data Visualization,skill_technology,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Debugging,skill_tech_troubleshooting,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Deception,skill_deception,background_or_gear,1.0,Auto-mapped alias for legacy content normalization.
Digital Tool Mastery,skill_technology,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
Discipline Enforcement,skill_gatekeeping,background_or_gear,0.8,Auto-mapped alias for legacy content normalization.
