id,name,type,rarity,cost_cp,cost_btc,weight_lb,attunement,description,bonuses,tags,version,is_active
item_noise_cancel_headphones,Noise Cancelling Headphones of Isolation,headgear,rare,300,0,0.5,false,"Blocks out the haters. Advantage on Concentration checks.","save_bonus:WIS:sonic:+2;save_bonus:WIS:verbal:+2;advantage:concentration","audio;defensive;focus",1.0,true
item_hoodie_anonymity,Hoodie of Anonymity,armor,uncommon,80,0,1.0,false,"A plain black hoodie. You blend into any urban environment.","cr_bonus:urban:+2;skill_bonus:DEX:stealth:+2","stealth;urban;clothing",1.0,true
item_ergonomic_laptop_stand,Ergonomic Laptop Stand,accessory,common,40,0,2.0,false,"Prevents posture damage during long work sessions.","save_bonus:CON:exhaustion:+1;immunity:back_pain","ergonomic;work;health",1.0,true
item_blue_light_glasses,Blue Light Glasses,eyewear,common,20,0,0.1,false,"Protects eyes from screen glare. See through digital illusions.","skill_bonus:WIS:perception:screens:+1;save_bonus:INT:digital:+1","eyewear;tech;defensive",1.0,true
item_mechanical_keyboard,Mechanical Keyboard of Clacking,weapon,rare,150,0,1.5,false,"Deals damage through pure sensory assault. Annoying to everyone nearby.","damage:1d6:STR:bludgeoning;damage:1d4:CON:sonic;range:melee","weapon;tech;sonic",1.0,true
item_hydroflask_hydration,Hydroflask of Hydration,wondrous_item,uncommon,45,0,0.5,false,"Holds infinite water (or iced coffee). Stay hydrated, stay chill.","restore_chill:1d4+CON:3:long_rest","consumable;healing;hydration",1.0,true
item_power_bank_infinite,Power Bank of Infinite Charge,wondrous_item,legendary,0,5000,0.3,true,"Never run out of battery again. A nomad's holy grail.","immunity:power_loss;skill_bonus:INT:tech:+3","tech;legendary;utility",1.0,true
item_vintage_film_camera,Vintage Film Camera,accessory,rare,500,0,1.0,false,"Takes photos that look better than reality. Instant aesthetic.","skill_bonus:CHA:performance:photography:+3;advantage:CHA:artistic","photography;aesthetic;artistic",1.0,true
item_yoga_mat_grounding,Yoga Mat of Grounding,wondrous_item,uncommon,60,0,2.0,false,"Center yourself. The mat provides unexpected stability.","advantage:WIS:saves:after_meditation","wellness;meditation;defensive",1.0,true
item_ironic_tshirt,Ironic T-Shirt,armor,common,25,0,0.3,false,"A shirt with a vague slogan. Says nothing, implies everything.","cr_bonus:+1;stat_bonus:CHA:+1","clothing;aesthetic;social",1.0,true
item_hydroflask_vsco,Hydroflask of VSCO,wondrous_item,common,40,0,0.5,false,"And I oop. Can be used as an improvised weapon.","damage:1d4:STR:bludgeoning;restore_chill:1:1:short_rest","consumable;weapon;meme",1.0,true
item_fidget_spinner,Fidget Spinner of Focus,accessory,common,5,0,0.1,false,"Reduces anxiety through repetitive motion.","skill_bonus:WIS:concentration:+1;save_bonus:WIS:anxiety:+1","focus;anxiety;utility",1.0,true
item_vape_pen_cloudkill,Vape Pen of Cloudkill,wand,rare,50,0,0.1,true,"Cast Cloudkill once per day. Mango flavored poison cloud.","cast_spell:cloudkill:1:long_rest;spell_stat:CHA","spell;poison;offensive",1.0,true
item_avocado_everlasting,Avocado of Everlasting Toast,wondrous_item,uncommon,15,0,0.2,false,"Regenerates every morning. Millennials can't resist it.","restore_chill:1d4+WIS:1:long_rest","consumable;healing;meme",1.0,true
item_beanie_hipsterdom,Beanie of Hipsterdom,headgear,common,25,0,0.2,false,"Makes you look like you listen to bands no one's heard of.","cr_bonus:+1;skill_bonus:CHA:performance:music:+1","clothing;aesthetic;music",1.0,true
item_flannel_lumbersexuality,Flannel Shirt of Lumbersexuality,armor,common,40,0,0.5,false,"Look rugged without doing manual labor. Peak aesthetic.","cr_bonus:+1;stat_bonus:CON:+1;skill_bonus:STR:appearance:+1","clothing;aesthetic;rugged",1.0,true
