name,prerequisites,description,benefits
Genetically Blessed Height,"Height > 180cm, CHA 13+","Your towering presence commands attention in every hostel common room and dating app","+4 CHA for each 10cm over 180cm; Targets have Disadvantage on WIS Saves vs your Persuasion (Dating); +2 Intimidation (Southeast Asia); CON Save DC 15 daily or lose benefits from slouching"
Clean Freak,"WIS 14+, Proficiency in Survival, Must maintain hygiene score >85","You cannot tolerate the filth of shared accommodations","+3 CON Saves vs Disease; -2 CHA (Authentic Experience Seekers); Advantage on Perception (Bed Bugs); Must spend 1hr daily on cleaning rituals or lose benefits; Auto-fail Stealth in dirty environments"
Super Well Traveled,"Visited 50+ countries, Proficiency in Survival, Speaks 3+ languages","You've been everywhere and won't let anyone forget it","+5 INT (History/Geography checks); +3 Persuasion (Travel Stories); -4 Insight (cultural assumptions); Must mention country count in every conversation or take 1d4 psychic damage"
Hot Athletic Body,"STR or DEX 16+, CON 14+, Must post gym selfies weekly","Your chiseled physique was forged in hotel gyms and beach workouts","+3 CHA (Fitness NPCs); +2 CR (unarmored); Advantage on Performance (Beach Clubs); -2 Stealth (everyone stares); Must work out 5x per week or lose 1 CON per week; Disadvantage on Persuasion (Non-Athletic NPCs)"
Dangerous Countries Veteran,"Proficiency in Survival, CON 13+, Visited 5+ high-risk destinations","You laugh at other nomads' fear of petty crime","+4 Intimidation; Immunity to Frightened; +3 Survival (Urban); -3 WIS (overconfidence); Bonus Action: War Stories (DC 14 WIS Save or target becomes Charmed or Annoyed)"
Fresh Off the Plane,"Must have arrived <30 days ago, WIS <12, Bank account >5000 GP","Everything is amazing and you have no idea what you're doing yet","+2 CHA (First Impressions); Advantage on Persuasion (Making Friends); -4 Insight (Scam Detection); -3 INT (Local Language); +2 Performance (Photography); Lose feat after 30 days or first major scam; Immunity to Exhaustion (Cynicism)"
Connoisseur of Fine Things,"CHA 14+, Proficiency in Performance, Monthly income >4000 GP","You only eat at the best spots and let everyone know","Advantage on Investigation (Quality Detection); +3 Persuasion (Upscale Establishments); -5 CHA (Budget Travelers); +2 Investigation (Hidden Gems); Must spend 500+ GP per week on dining or suffer 2d6 psychic damage; Disadvantage on CON Saves (Street Food)"
Big Bank Account,"Passive income >10000 GP/month, Proficiency in INT (Finance) or INT (Crypto)","Your wealth allows you to live above the concerns of mere mortals","+4 CHA (Capitalist Societies); Advantage on Persuasion (Money-Related); Can reroll any failed check by spending 100 GP; -6 Insight (Normal Struggles); Disadvantage on Persuasion (Low Income NPCs); Lose feat if passive income drops below threshold"
Visa Runner,"DEX 12+, Proficiency in Deception, No work permit","You've mastered the art of border hopping every 30-90 days","+5 Deception (Work Questions); Advantage on INT (Travel Planning); -2 WIS (Long-Term Planning); +3 Stealth (Cafe Working); Must leave country before visa expires or take 3d10 psychic damage; Disadvantage on Persuasion (Lasting Relationships)"
Coffee Shop Warrior,"Must own laptop >1500 GP, Proficiency in Remote Work, CON 13+","You've conquered the WiFi jungles and claimed your corner table","+2 INT (Work Checks in Cafes); Advantage on Perception (Power Outlets); -3 CHA (Cafe Staff); Immunity to social pressure to leave; +4 Perception (WiFi Speed); Must order something every 3 hours or take 1d6 psychic damage"
Digital Detox Believer,"WIS 15+, Survived 7+ day retreat, CHA 13+","You've found yourself through disconnection and healing","+3 WIS (Meditation); Advantage on WIS Saves vs Phone Addiction; -4 CON (Maintaining Detox); +5 Persuasion (Presence Preaching); Must attend wellness retreat quarterly or gain Anxious condition; Must post about digital detox on social media within 24hrs of ending (Irony Immunity)"
Crypto Bro,"INT 12+, Proficiency in Technology, Lost money at least once","Your entire personality revolves around blockchain and the future","+5 Persuasion (Crypto Explanations); Advantage on Investigation (Investment Opportunities); -6 WIS (Financial Risk); +3 Deception (Convincing Others to Invest); Action: Bore NPC (DC 16 WIS Save or target leaves); Wealth fluctuates wildly (1d100% weekly)"
Perpetual Networker,"CHA 15+, Proficiency in Performance, Attended 10+ networking events","Every interaction is an opportunity to exchange LinkedIn profiles","+4 Persuasion (Professional Settings); Advantage on CHA (Business Contacts); -3 WIS (Genuine Friendships); +2 Performance (Personal Brand); Must collect 5 business cards per week or gain FOMO condition; Cannot have casual conversation without mentioning synergy"
Yoga Instructor Certificate,"DEX 14+, WIS 13+, Completed 200hr training in Bali","You teach yoga to fund your travels and spiritual journey","+3 Acrobatics; +3 Athletics; +2 Persuasion (Spiritual Seekers); -4 CHA (Non-Yoga Topics); Advantage on finding accommodation (Work Trade); +2 CHA (Yoga Pants); Must practice daily or -2 DEX; -3 WIS (Material Concerns)"
Instagram Influencer,"CHA 16+, Proficiency in Performance, Followers >10000","Your life looks perfect through the Valencia filter","+5 Deception (Hiding Reality); Advantage on Persuasion (Free Stuff); -5 WIS (Experiencing Moments); +4 Performance; Can earn GP through sponsored posts; Must post daily or lose followers (1d100 per day); -3 WIS (Believe Own Content); Take 2d6 psychic damage per negative comment"
Minimalist (Owns MacBook Pro),"Must own <50 items valued >15000 GP total, WIS 12+","You've embraced minimalism with only the essentials: laptop, camera, designer clothes","Advantage on DEX (Packing); +2 WIS Saves; -5 Insight (Self-Awareness); +3 Persuasion (Minimalism Preaching); Must tell everyone about minimalism or take 1d8 psychic damage; Owns 'only essentials' worth more than most people's everything"
Polyglot Pretender,"INT 12+, Knows basic phrases in 8+ languages, Actual fluency in 0-1","You've collected languages like Pokemon but can't actually speak any well","+2 CHA (First Impressions Any Country); Advantage on Persuasion (Ordering Food/Beer); -4 INT (Sustained Foreign Conversations); +3 CHA (Locals Appreciate Effort); Disadvantage on INT (Complex Topics); Must practice Duolingo daily or lose streaks and gain Burnout"
NFT Profile Picture Owner,"Paid 500+ ETH for jpeg, CHA 10+, WIS 6-","You own a unique digital asset that will definitely retain value","Right-click save immunity (self-perceived); +5 Persuasion (Crypto Circles); -8 CHA (Normies); +1 Deception (Investment Pretense); Wealth: -90% (instant); Must explain NFTs to confused NPCs (exhausting); Can be Cringed at will"
Startup Founder (Between Ventures),"Failed 1+ businesses, CHA 14+, Currently unemployed","You're not unemployed, you're an entrepreneur having a strategic pause","+4 Persuasion (Pitching Ideas); Advantage on Performance (Sounding Impressive); -6 WIS (Admitting Failure); +3 Deception (Reframing Unemployment); Can pivot at any moment; -5 GP Income; +5 CHA Saves vs Embarrassment; Roll d20 at creation: on 1-5 gain Sociopathic trait"
Ayahuasca Enlightened,"CON 13+, WIS 8-, Survived plant medicine ceremony","You've seen the truth and everyone else is asleep","Advantage on Insight (Self-Perceived Only); +3 Persuasion (Spiritual Seekers); -6 CHA (Non-Enlightened Beings); +5 Performance (Rambling About Oneness); Must microdose and talk about it; -4 CHA (Normal Conversations); Grant Disadvantage to anyone tired of hearing about it"
Unix Enlightened,"INT 16+, Proficiency in Technology, Must use Arch Linux, CHA 8-","You daily drive Linux and need everyone to know Windows/Mac are for peasants","+5 INT (Technology); +3 Investigation (Debugging); Advantage on INT (Hacking/Security); -6 CHA (Insufferable); +4 INT (Programming); Must explain why your setup is superior (DC 15 WIS Save or target becomes Annoyed); Cannot help without saying 'RTFM'; -3 Persuasion (Non-Technical People)"
Nip Tuck,"CHA appears 16+, actual age 40+, Spent >50000 GP on procedures","Strategic surgical investments maintain your competitive edge in the nomad dating scene","+6 CHA (Appearance Only); +4 Deception (Age); -4 WIS (Life Decisions); Advantage on CHA (First Impressions); -3 CON (Recovery Needed); Must maintain treatments quarterly or appear +2d4 years in 1 month; Take 3d6 psychic damage if someone guesses procedures; +2 Intimidation (Uncanny Valley)"
Always High On Something,"CON 14+, Proficiency in Survival (Substance Procurement), WIS 9-","You've achieved a permanent state of altered consciousness","Advantage on INT (Creative Thinking); +4 Performance (Everything is Funny); -5 Perception; +3 Persuasion (Other Users); -6 INT (Memory Checks); Immunity to Stressed and Anxious; -4 Vibe Check (Slow Reactions); +2 Insight (Different Perspective); Must resupply every 2 days or Disadvantage on all checks"
Heavy Drinker,"CON 15+, Proficiency in CON (Alcohol), CHA 12+","You're not an alcoholic, you're just living the expat lifestyle","+5 CON Saves vs Alcohol; +4 CHA (Bars/Nightlife); Advantage on Persuasion (Drunk Friends); -3 WIS; +3 Intimidation (Drinking Contests); -2 DEX (Morning Activities); Must drink daily or become Irritable condition; Take 1d6 necrotic damage to Chill per week; +6 Persuasion (Other Drinkers); Auto-fail INT (Last Night Recall)"
Actual Polyglot,"INT 18+, Speaks 5+ languages fluently, Spent years studying","You genuinely learned languages and are surrounded by people faking it","+8 INT (Language Checks); Advantage on INT (Translation); +4 Insight (Detect Fake Polyglots); +3 CHA (Impressed Locals); -6 WIS (Patience with Duolingo Warriors); Can communicate in any situation; +5 Investigation (Understanding Documents); -2 CHA (Monolingual People); Must correct others' grammar (compulsive)"
